"Yield","new_yield"
38,"below_average"
42.44,"above_average"
42.03,"above_average"
41.42,"above_average"
42.49,"above_average"
43.57,"above_average"
43.12,"above_average"
43.06,"above_average"
41.49,"above_average"
42.45,"above_average"
42.04,"above_average"
42.68,"above_average"
43.44,"above_average"
40.28,"above_average"
41.5,"above_average"
41.21,"above_average"
40.89,"above_average"
40.14,"below_average"
39.3,"below_average"
39.53,"below_average"
40.22,"above_average"
41.18,"above_average"
40.7,"above_average"
41.89,"above_average"
43.38,"above_average"
36.83,"below_average"
35.25,"below_average"
36.12,"below_average"
38.52,"below_average"
38.35,"below_average"
39.98,"below_average"
41.87,"above_average"
43.62,"above_average"
38.6,"below_average"
39.65,"below_average"
40.87,"above_average"
42.46,"above_average"
42.66,"above_average"
42.23,"above_average"
41.43,"above_average"
41.47,"above_average"
42.07,"above_average"
44.35,"above_average"
44.16,"above_average"
43.33,"above_average"
42.61,"above_average"
42.96,"above_average"
43.84,"above_average"
46.34,"above_average"
39.74,"below_average"
41.12,"above_average"
40.14,"below_average"
42.69,"above_average"
40.15,"below_average"
39.77,"below_average"
39.4,"below_average"
39.14,"below_average"
40.36,"above_average"
42.31,"above_average"
40.49,"above_average"
40.57,"above_average"
38.2,"below_average"
38.7,"below_average"
38.94,"below_average"
41.9,"above_average"
42.03,"above_average"
41.96,"above_average"
41.85,"above_average"
39.71,"below_average"
39.38,"below_average"
39.16,"below_average"
39.38,"below_average"
40.08,"below_average"
39.17,"below_average"
38.37,"below_average"
38.76,"below_average"
38.73,"below_average"
38.95,"below_average"
40.41,"above_average"
39.9,"below_average"
39.79,"below_average"
41.25,"above_average"
41,"above_average"
41.59,"above_average"
40.91,"above_average"
38.99,"below_average"
38.81,"below_average"
39.3,"below_average"
40.77,"above_average"
39.27,"below_average"
40.06,"below_average"
39.17,"below_average"
39.98,"below_average"
39.91,"below_average"
40.77,"above_average"
39.86,"below_average"
40.03,"below_average"
40.81,"above_average"
37.94,"below_average"
37.73,"below_average"
37.3,"below_average"
37.86,"below_average"
38.05,"below_average"
37.87,"below_average"
38.6,"below_average"
38.44,"below_average"
39.42,"below_average"
39.75,"below_average"
39.51,"below_average"
38.35,"below_average"
40.38,"above_average"
40.19,"above_average"
39.96,"below_average"
39.79,"below_average"
41.86,"above_average"
42.15,"above_average"
43.88,"above_average"
39.58,"below_average"
40.19,"above_average"
39.84,"below_average"
40.59,"above_average"
40.66,"above_average"
42.58,"above_average"
43.42,"above_average"
41.45,"above_average"
41.31,"above_average"
42.28,"above_average"
41.62,"above_average"
42.73,"above_average"
41.66,"above_average"
40.89,"above_average"
40.82,"above_average"
39.77,"below_average"
38.05,"below_average"
37.86,"below_average"
38.03,"below_average"
37.39,"below_average"
39.16,"below_average"
37.64,"below_average"
39.77,"below_average"
38.66,"below_average"
40.31,"above_average"
40.54,"above_average"
40.64,"above_average"
38.6,"below_average"
38.13,"below_average"
40.1,"below_average"
39.14,"below_average"
38.63,"below_average"
41.43,"above_average"
40.96,"above_average"
37.89,"below_average"
37.42,"below_average"
37.51,"below_average"
37.92,"below_average"
36.77,"below_average"
37.14,"below_average"
37.73,"below_average"
38.03,"below_average"
37.86,"below_average"
38.31,"below_average"
38.66,"below_average"
38.65,"below_average"
38.67,"below_average"
38.42,"below_average"
39.15,"below_average"
38.82,"below_average"
39.08,"below_average"
38.9,"below_average"
39.62,"below_average"
39.77,"below_average"
39.66,"below_average"
39.68,"below_average"
42.23,"above_average"
38.48,"below_average"
39.49,"below_average"
